DATE,CPILFESL,UNRATE,FEDFUNDS
1/1/1980,76.7,6.3,13.82
2/1/1980,77.5,6.3,14.13
3/1/1980,78.6,6.3,17.19
4/1/1980,79.5,6.9,17.61
5/1/1980,80.1,7.5,10.98
6/1/1980,81,7.6,9.47
7/1/1980,80.8,7.8,9.03
8/1/1980,81.3,7.7,9.61
9/1/1980,82.1,7.5,10.87
10/1/1980,83,7.5,12.81
11/1/1980,83.9,7.5,15.85
12/1/1980,84.9,7.2,18.9
1/1/1981,85.4,7.5,19.08
2/1/1981,85.9,7.4,15.93
3/1/1981,86.4,7.4,14.7
4/1/1981,87,7.2,15.72
5/1/1981,87.8,7.5,18.52
6/1/1981,88.6,7.5,19.1
7/1/1981,89.8,7.2,19.04
8/1/1981,90.7,7.4,17.82
9/1/1981,91.8,7.6,15.87
10/1/1981,92.1,7.9,15.08
11/1/1981,92.5,8.3,13.31
12/1/1981,93,8.5,12.37
1/1/1982,93.3,8.6,13.22
2/1/1982,93.8,8.9,14.78
3/1/1982,93.9,9,14.68
4/1/1982,94.7,9.3,14.94
5/1/1982,95.4,9.4,14.45
6/1/1982,96.1,9.6,14.15
7/1/1982,96.7,9.8,12.59
8/1/1982,97.1,9.8,10.12
9/1/1982,97.2,10.1,10.31
10/1/1982,97.5,10.4,9.71
11/1/1982,97.3,10.8,9.2
12/1/1982,97.2,10.8,8.95
1/1/1983,97.6,10.4,8.68
2/1/1983,98,10.4,8.51
3/1/1983,98.2,10.3,8.77
4/1/1983,98.6,10.2,8.8
5/1/1983,98.9,10.1,8.63
6/1/1983,99.2,10.1,8.98
7/1/1983,99.8,9.4,9.37
8/1/1983,100.1,9.5,9.56
9/1/1983,100.5,9.2,9.45
10/1/1983,101,8.8,9.48
11/1/1983,101.5,8.5,9.34
12/1/1983,101.8,8.3,9.47
1/1/1984,102.5,8,9.56
2/1/1984,102.8,7.8,9.59
3/1/1984,103.2,7.8,9.91
4/1/1984,103.7,7.7,10.29
5/1/1984,104.1,7.4,10.32
6/1/1984,104.5,7.2,11.06
7/1/1984,105,7.5,11.23
8/1/1984,105.4,7.5,11.64
9/1/1984,105.8,7.3,11.3
10/1/1984,106.2,7.4,9.99
11/1/1984,106.4,7.2,9.43
12/1/1984,106.8,7.3,8.38
1/1/1985,107.1,7.3,8.35
2/1/1985,107.7,7.2,8.5
3/1/1985,108.1,7.2,8.58
4/1/1985,108.4,7.3,8.27
5/1/1985,108.8,7.2,7.97
6/1/1985,109.1,7.4,7.53
7/1/1985,109.4,7.4,7.88
8/1/1985,109.8,7.1,7.9
9/1/1985,110,7.1,7.92
10/1/1985,110.5,7.1,7.99
11/1/1985,111.1,7,8.05
12/1/1985,111.4,7,8.27
1/1/1986,111.9,6.7,8.14
2/1/1986,112.2,7.2,7.86
3/1/1986,112.5,7.2,7.48
4/1/1986,112.9,7.1,6.99
5/1/1986,113.1,7.2,6.85
6/1/1986,113.4,7.2,6.92
7/1/1986,113.8,7,6.56
8/1/1986,114.2,6.9,6.17
9/1/1986,114.6,7,5.89
10/1/1986,115,7,5.85
11/1/1986,115.3,6.9,6.04
12/1/1986,115.6,6.6,6.91
1/1/1987,115.9,6.6,6.43
2/1/1987,116.2,6.6,6.1
3/1/1987,116.6,6.6,6.13
4/1/1987,117.3,6.3,6.37
5/1/1987,117.7,6.3,6.85
6/1/1987,117.9,6.2,6.73
7/1/1987,118.3,6.1,6.58
8/1/1987,118.7,6,6.73
9/1/1987,119.2,5.9,7.22
10/1/1987,119.8,6,7.29
11/1/1987,120.1,5.8,6.69
12/1/1987,120.4,5.7,6.77
1/1/1988,120.9,5.7,6.83
2/1/1988,121.2,5.7,6.58
3/1/1988,121.7,5.7,6.58
4/1/1988,122.3,5.4,6.87
5/1/1988,122.7,5.6,7.09
6/1/1988,123.2,5.4,7.51
7/1/1988,123.6,5.4,7.75
8/1/1988,124,5.6,8.01
9/1/1988,124.7,5.4,8.19
10/1/1988,125.2,5.4,8.3
11/1/1988,125.6,5.3,8.35
12/1/1988,126,5.3,8.76
1/1/1989,126.5,5.4,9.12
2/1/1989,126.9,5.2,9.36
3/1/1989,127.4,5,9.85
4/1/1989,127.8,5.2,9.84
5/1/1989,128.3,5.2,9.81
6/1/1989,128.8,5.3,9.53
7/1/1989,129.2,5.2,9.24
8/1/1989,129.5,5.2,8.99
9/1/1989,129.9,5.3,9.02
10/1/1989,130.6,5.3,8.84
11/1/1989,131.1,5.4,8.55
12/1/1989,131.6,5.4,8.45
1/1/1990,132.1,5.4,8.23
2/1/1990,132.7,5.3,8.24
3/1/1990,133.5,5.2,8.28
4/1/1990,134,5.4,8.26
5/1/1990,134.4,5.4,8.18
6/1/1990,135.1,5.2,8.29
7/1/1990,135.8,5.5,8.15
8/1/1990,136.6,5.7,8.13
9/1/1990,137.1,5.9,8.2
10/1/1990,137.6,5.9,8.11
11/1/1990,138,6.2,7.81
12/1/1990,138.6,6.3,7.31
1/1/1991,139.5,6.4,6.91
2/1/1991,140.2,6.6,6.25
3/1/1991,140.5,6.8,6.12
4/1/1991,140.9,6.7,5.91
5/1/1991,141.3,6.9,5.78
6/1/1991,141.8,6.9,5.9
7/1/1991,142.3,6.8,5.82
8/1/1991,142.9,6.9,5.66
9/1/1991,143.4,6.9,5.45
10/1/1991,143.7,7,5.21
11/1/1991,144.2,7,4.81
12/1/1991,144.7,7.3,4.43
1/1/1992,145.1,7.3,4.03
2/1/1992,145.4,7.4,4.06
3/1/1992,145.9,7.4,3.98
4/1/1992,146.3,7.4,3.73
5/1/1992,146.8,7.6,3.82
6/1/1992,147.1,7.8,3.76
7/1/1992,147.6,7.7,3.25
8/1/1992,147.9,7.6,3.3
9/1/1992,148.1,7.6,3.22
10/1/1992,148.8,7.3,3.1
11/1/1992,149.2,7.4,3.09
12/1/1992,149.6,7.4,2.92
1/1/1993,150.1,7.3,3.02
2/1/1993,150.6,7.1,3.03
3/1/1993,150.8,7,3.07
4/1/1993,151.4,7.1,2.96
5/1/1993,151.8,7.1,3
6/1/1993,152.1,7,3.04
7/1/1993,152.3,6.9,3.06
8/1/1993,152.8,6.8,3.03
9/1/1993,152.9,6.7,3.09
10/1/1993,153.4,6.8,2.99
11/1/1993,153.9,6.6,3.02
12/1/1993,154.3,6.5,2.96
1/1/1994,154.5,6.6,3.05
2/1/1994,154.8,6.6,3.25
3/1/1994,155.3,6.5,3.34
4/1/1994,155.5,6.4,3.56
5/1/1994,155.9,6.1,4.01
6/1/1994,156.4,6.1,4.25
7/1/1994,156.7,6.1,4.26
8/1/1994,157.1,6,4.47
9/1/1994,157.5,5.9,4.73
10/1/1994,157.8,5.8,4.76
11/1/1994,158.2,5.6,5.29
12/1/1994,158.3,5.5,5.45
1/1/1995,159,5.6,5.53
2/1/1995,159.4,5.4,5.92
3/1/1995,159.9,5.4,5.98
4/1/1995,160.4,5.8,6.05
5/1/1995,160.7,5.6,6.01
6/1/1995,161.1,5.6,6
7/1/1995,161.4,5.7,5.85
8/1/1995,161.8,5.7,5.74
9/1/1995,162.2,5.6,5.8
10/1/1995,162.7,5.5,5.76
11/1/1995,163,5.6,5.8
12/1/1995,163.1,5.6,5.6
1/1/1996,163.7,5.6,5.56
2/1/1996,164,5.5,5.22
3/1/1996,164.4,5.5,5.31
4/1/1996,164.6,5.6,5.22
5/1/1996,165,5.6,5.24
6/1/1996,165.4,5.3,5.27
7/1/1996,165.7,5.5,5.4
8/1/1996,166,5.1,5.22
9/1/1996,166.5,5.2,5.3
10/1/1996,166.8,5.2,5.24
11/1/1996,167.2,5.4,5.31
12/1/1996,167.4,5.4,5.29
1/1/1997,167.8,5.3,5.25
2/1/1997,168.1,5.2,5.19
3/1/1997,168.4,5.2,5.39
4/1/1997,168.9,5.1,5.51
5/1/1997,169.2,4.9,5.5
6/1/1997,169.4,5,5.56
7/1/1997,169.7,4.9,5.52
8/1/1997,169.8,4.8,5.54
9/1/1997,170.2,4.9,5.54
10/1/1997,170.6,4.7,5.5
11/1/1997,170.8,4.6,5.52
12/1/1997,171.2,4.7,5.5
1/1/1998,171.6,4.6,5.56
2/1/1998,171.9,4.6,5.51
3/1/1998,172.2,4.7,5.49
4/1/1998,172.5,4.3,5.45
5/1/1998,172.9,4.4,5.49
6/1/1998,173.2,4.5,5.56
7/1/1998,173.5,4.5,5.54
8/1/1998,174,4.5,5.55
9/1/1998,174.2,4.6,5.51
10/1/1998,174.4,4.5,5.07
11/1/1998,174.8,4.4,4.83
12/1/1998,175.4,4.4,4.68
1/1/1999,175.6,4.3,4.63
2/1/1999,175.6,4.4,4.76
3/1/1999,175.7,4.2,4.81
4/1/1999,176.3,4.3,4.74
5/1/1999,176.5,4.2,4.74
6/1/1999,176.6,4.3,4.76
7/1/1999,177.1,4.3,4.99
8/1/1999,177.3,4.2,5.07
9/1/1999,177.8,4.2,5.22
10/1/1999,178.1,4.1,5.2
11/1/1999,178.4,4.1,5.42
12/1/1999,178.7,4,5.3
1/1/2000,179.3,4,5.45
2/1/2000,179.4,4.1,5.73
3/1/2000,180,4,5.85
4/1/2000,180.3,3.8,6.02
5/1/2000,180.7,4,6.27
6/1/2000,181.1,4,6.53
